"movieId","tmdbId","title","original_title","overview","release_date","poster_path","backdrop_path","tmdb_vote","vote_count","popularity","dtype","originalLanguage"
"462","462","Erin Brockovich","Erin Brockovich","A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.","2000-03-17","/eMs20iUQyZVs05Ck7Q0LNnRsstr.jpg","/3HmLKhahTxX2ALTWlagr92pZrU7.jpg","7.434","3593","4.573","MOVIE","en"
"9532","9532","Final Destination","Final Destination","After a teenager has a terrifying vision of him and his friends dying in a plane crash, he prevents the accident only to have Death hunt them down, one by one.","2000-03-17","/1mXhlQMnlfvJ2frxTjZSQNnA9Vp.jpg","/7isarjYDEKZ5t1CgcvbuqEUby8P.jpg","6.63","6569","6.6706","MOVIE","en"
"117259","117259","Soft Fruit","Soft Fruit","For the first time in 15 years, all four siblings in a family show up to care for their dying mother, who is only given a couple of weeks to live. One comes from America with her two children. A divorced sister also comes with her child and sneaks off regularly to meet a mystery man who may be her ex-husband. The third & youngest daughter is an unmarried nurse aware of her ticking biological clock. The only son chases after his grumpy father who seems to not care a whit about his wife's circumstances. The four are also faced my their mother's dreams to accomplish a few things before she dies - to visit a beach she had visited in the past, to see her youngest married, and to visit Paris. She also wants to be embalmed and be honored with a 21 gun salute. Thus the whole group has to set off in the quest to fulfill their mother's wishes.","1999-10-28","/eaOehKsttNGjoaUwVRvn7c6HMQ8.jpg","","3.3","3","0.5279","MOVIE","en"
"2383","2383","The Bear","L'Ours","An orphan bear cub hooks up with an adult male as they try to dodge human hunters.","1988-10-21","/ry4A1Y2udvqyDlVHLtSeP1u9qwJ.jpg","/3wcDKBiMnCEZBIg5ADN1dZ7L44i.jpg","7.1","518","1.5193","MOVIE","fr"
"53879","53879","Love Is a Many-Splendored Thing","Love Is a Many-Splendored Thing","A widowed doctor of both Chinese and European descent falls in love with a married American correspondent in Hong Kong during China's Communist revolution.","1955-08-18","/a9aqlitzVeo5fq6UX5Ekl5kopco.jpg","/nOMWT3wKcaVD6aB6Hxn1RveIVln.jpg","6.0","87","1.2239","MOVIE","en"
"1396","1396","Mirror","Зеркало","A dying man in his forties recalls his childhood, his mother, the war and personal moments that tell of and juxtapose pivotal moments in Soviet history with daily life.","1975-03-07","/AttDP5OEsMxtHPPN7Z92p2Ntnmd.jpg","/9UAcMhSCDJ2OCo5QdPpSERjhMA1.jpg","7.952","1079","15.7448","MOVIE","ru"
"11570","11570","The Crimson Pirate","The Crimson Pirate","Burt Lancaster plays a pirate with a taste for intrigue and acrobatics who involves himself in the goings on of a revolution in the Caribbean in the late 1700s. A light hearted adventure involving prison breaks, an oddball scientist, sailing ships, naval fights and tons of swordplay.","1952-09-27","/lOSqs9ntb2wB7gveCx2l7cqC1nG.jpg","/tqtgrJm6EYKTFozDH8POJqcY3Vj.jpg","7.0","153","2.0965","MOVIE","en"
"1541","1541","Thelma & Louise","Thelma & Louise","Taking a break from their dreary lives, close friends Thelma and Louise embark on a short weekend trip that ends in unforeseen incriminating circumstances. As fugitives, both women rediscover the strength of their bond and their newfound resilience.","1991-05-24","/gQSUVGR80RVHxJywtwXm2qa1ebi.jpg","/eA15zhxnhQSg4k5MUbbTERIU23Z.jpg","7.6","3807","4.9929","MOVIE","en"
"17443","17443","...And Justice for All","...And Justice for All","An ethical Baltimore defense lawyer disgusted with rampant legal corruption is forced to defend a judge he despises in a rape trial under the threat of being disbarred.","1979-10-19","/32NmJn0p4o9BdWVpEhuyxzwsqhL.jpg","/2Le14AZIvSfi08Cr2XA2UFJ8mdR.jpg","7.08","578","2.3247","MOVIE","en"
"8469","8469","Animal House","Animal House","At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.","1978-07-28","/fWooBbipMRIKeSRhEzmeaDV0T8H.jpg","/2fmLLKSEzdfk41Iz76ewoKhyWgb.jpg","6.972","1649","3.8769","MOVIE","en"
"27995","27995","She's Gotta Have It","She's Gotta Have It","The story of Nola Darling's simultaneous sexual relationships with three different men is told by her and by her partners and other friends. All three men wanted her to commit solely to them; Nola resists being ""owned"" by a single partner.","1986-08-08","/qiJuXvPONqTSSnzhbCBqE7EotV.jpg","/aqUYYwKMNRzmqvkBvNM1gqRerb1.jpg","6.6","352","1.2074","MOVIE","en"
"36739","36739","School Daze","School Daze","Fraternity and sorority members clash with other students at a historically black college during homecoming weekend.","1988-02-12","/vnfjKHcmah7ReMxLNF18JMXFgSZ.jpg","/kNjnEqsEHNy58m9FgPevxm4wnkk.jpg","5.7","112","1.2484","MOVIE","en"
"925","925","Do the Right Thing","Do the Right Thing","Sal is the Italian owner of a pizzeria in Brooklyn. A neighborhood local, Buggin' Out, becomes upset when he sees that the pizzeria's Wall of Fame exhibits only Italian actors. Buggin' Out believes a pizzeria in a black neighborhood should showcase black actors, but Sal disagrees. The wall becomes a symbol of racism and hate to Buggin' Out and to other people in the neighborhood, and tensions rise.","1989-06-14","/63rmSDPahrH7C1gEFYzRuIBAN9W.jpg","/oYOZay9hyW3uI5paKWLIYkWZlzv.jpg","7.763","1963","3.2311","MOVIE","en"
"41823","41823","Mo' Better Blues","Mo' Better Blues","Talented but self-centered trumpeter Bleek Gilliam is obsessed with his music and indecisiveness about his girlfriends Indigo and Clarke. But when he is forced to come to the aid of his manager and childhood friend, Bleek finds his world more fragile than he ever imagined.","1990-08-03","/sEa6m5RjfrqfTzY1eHkC85shiUF.jpg","/5T01b2OxE85HC3nSKeULBDf98cP.jpg","6.5","254","1.3926","MOVIE","en"
"1713","1713","Jungle Fever","Jungle Fever","A successful and married black man contemplates having an affair with a white girl from work. He's quite rightly worried that the racial difference would make an already taboo relationship even worse.","1991-06-07","/pw7cOdwCylBuiv6rvosBSkcgKEe.jpg","/2YQfKfYX0mvHPnFMP5wiL1kYYBU.jpg","6.389","310","2.0072","MOVIE","en"
