media_content_id,tmdbId,title,original_title,overview,release_date,poster_path,backdrop_path,tmdb_vote,vote_count,popularity,dtype,originalLanguage,cast,director
36643,36643,The World Is Not Enough,The World Is Not Enough,"Greed, revenge, world dominance and high-tech terrorism – it's all in a day's work for Bond, who's on a mission to protect a beautiful oil heiress from a notorious terrorist. In a race against time that culminates in a dramatic submarine showdown, Bond works to defuse the international power struggle that has the world's oil supply hanging in the balance.",1999-11-17,/wCb2msgoZPK01WIqry24M4xsM73.jpg,/gJfg43Pl1ZeWDEGzG3nIu9P92zK.jpg,6.284,3217,10.9203,MOVIE,en,"Pierce Brosnan, Sophie Marceau, Robert Carlyle, Denise Richards, Robbie Coltrane",Michael Apted
99,99,All About My Mother,Todo sobre mi madre,"Following the tragic death of her teenage son, Manuela travels from Madrid to Barcelona in an attempt to contact the long-estranged father the boy never knew. She reunites with an old friend, an outspoken transgender sex worker, and befriends a troubled actress and a pregnant, HIV-positive nun.",1999-04-16,/hjQhzhkGYXPNM96k0mOgob6HMmn.jpg,/tilClWjFZeUTGJu0pxgF72fvUmN.jpg,7.619,2049,3.1961,MOVIE,es,"Cecilia Roth, Marisa Paredes, Candela Peña, Antonia San Juan, Penélope Cruz",Pedro Almodóvar
25898,25898,Babes in Toyland,Babes in Toyland,"Ollie Dee and Stannie Dum try to borrow money from their employer, the toymaker, to pay off the mortgage on Mother Peep's shoe and keep it and Little Bo Peep from the clutches of the evil Barnaby. When that fails, they trick Barnaby, enraging him.",1934-12-14,/iN8B54ymwiLJmnbz5iluqbsit1e.jpg,/ba8MIR0o5xp2Vs442Pq1RLA4AYP.jpg,6.3,155,1.313,MOVIE,en,"Stan Laurel, Oliver Hardy, Charlotte Henry, Henry Brandon, Felix Knight","Charley Rogers, Gus Meins"
9647,9647,Scrooged,Scrooged,"Frank Cross is a wildly successful television executive whose cold ambition and curmudgeonly nature has driven away the love of his life. But after firing a staff member on Christmas Eve, Frank is visited by a series of ghosts who give him a chance to re-evaluate his actions and right the wrongs of his past.",1988-11-22,/uO0znfB2ZzTXA1IS7jkrjNbpkYK.jpg,/6Cld2xtKYfWnWK3w3gfJRRA82vd.jpg,6.786,1676,3.2596,MOVIE,en,"Bill Murray, Karen Allen, John Forsythe, John Glover, Bobcat Goldthwait",Richard Donner
11787,11787,Harvey,Harvey,"The story of Elwood P. Dowd who makes friends with a spirit taking the form of a human-sized rabbit named Harvey that only he sees (and a few privileged others on occasion also.) After his sister tries to commit him to a mental institution, a comedy of errors ensues. Elwood and Harvey become the catalysts for a family mending its wounds and for romance blossoming in unexpected places.",1950-12-04,/dgd82hYmpiXDM1G867HqNaWe8wj.jpg,/Ah7uiN6ws2QcBZhLdDfkiSJIX35.jpg,7.675,677,2.8253,MOVIE,en,"James Stewart, Josephine Hull, Peggy Dow, Charles Drake, Cecil Kellaway",Henry Koster
5156,5156,Bicycle Thieves,Ladri di biciclette,"Unemployed Antonio is elated when he finally finds work hanging posters around war-torn Rome. However on his first day, his bicycle—essential to his work—gets stolen. His job is doomed unless he can find the thief. With the help of his son, Antonio combs the city, becoming desperate for justice.",1948-07-21,/iPdVqIpmR3bRvOQJPrn4pr2KR3q.jpg,/nd6ItWuWGmTKhHXuxVC8kp86CmQ.jpg,8.171,2631,3.8703,MOVIE,it,"Lamberto Maggiorani, Enzo Staiola, Lianella Carell, Gino Saltamerenda, Vittorio Antonucci",Vittorio De Sica
24276,24276,Matewan,Matewan,"Filmed in the coal country of West Virginia, ""Matewan"" celebrates labor organizing in the context of a 1920s work stoppage. Union organizer, Joe Kenehan, a scab named ""Few Clothes"" Johnson and a sympathetic mayor and police chief heroically fight the power represented by a coal company and Matewan's vested interests so that justice and workers' rights need not take a back seat to squalid working conditions, exploitation and the bottom line.",1987-08-28,/jMYqoM60clzYIQriM1wYXXBjU3O.jpg,/7Z2448JzjPf2THI0oJ0dsfSz56y.jpg,7.391,129,1.3174,MOVIE,en,"Chris Cooper, James Earl Jones, Mary McDonnell, Will Oldham, David Strathairn",John Sayles
11953,11953,Kagemusha,影武者,"Akira Kurosawa's lauded feudal epic presents the tale of a petty thief who is recruited to impersonate Shingen, an aging warlord, in order to avoid attacks by competing clans. When Shingen dies, his generals reluctantly agree to have the impostor take over as the powerful ruler. He soon begins to appreciate life as Shingen, but his commitment to the role is tested when he must lead his troops into battle against the forces of a rival warlord.",1980-04-26,/fJgqj9s8HNZz9zwX6femVJn8HEB.jpg,/7qsKE8GsgjreeQ2mTLd5oKZ7Tbf.jpg,7.8,723,3.6387,MOVIE,ja,"Tatsuya Nakadai, Tsutomu Yamazaki, Kenichi Hagiwara, Jinpachi Nezu, Hideji Ōtaki",Akira Kurosawa
29005,29005,McCabe & Mrs. Miller,McCabe & Mrs. Miller,A gambler and a prostitute become thriving business partners in a remote Old West mining town until a large corporation arrives on the scene.,1971-06-24,/oR839yRsFAiQHwJ78hdKZYjEBg8.jpg,/5Le4bfUJXFtQALJqwqzzPtyiwrX.jpg,7.165,443,2.1885,MOVIE,en,"Warren Beatty, Julie Christie, René Auberjonois, William Devane, John Schuck",Robert Altman
26371,26371,Maurice,Maurice,"After his lover rejects him, Maurice attempts to come to terms with his sexuality within the restrictiveness of Edwardian society.",1987-09-18,/8HhCyxxzoUqEBmVGK25Jq69LhVo.jpg,/rN1OKiEp8gNQ9RB6GeZeqOqVsjk.jpg,7.604,595,3.9715,MOVIE,en,"James Wilby, Hugh Grant, Rupert Graves, Denholm Elliott, Simon Callow",James Ivory
